Age,AskPrice,Brand_std,Fuel_std,Owner_std,Transmission_std,Year,kmDriven,km_per_year
4,685000.0,Hyundai,Petrol,First,Manual,2021,17000.0,3777.777777777778
7,749000.0,Maruti Suzuki,Petrol,Second,Manual,2018,70000.0,9333.333333333334
2,1600000.0,Hyundai,Petrol,First,Automatic,2023,5000.0,2000.0
3,1695000.0,Hyundai,Diesel,Second,Manual,2022,47110.0,13460.0
6,585000.0,Hyundai,Petrol,First,Manual,2019,35000.0,5384.615384615385
6,4200000.0,Mercedes-Benz,Diesel,First,Automatic,2019,101570.0,15626.153846153846
4,675000.0,Volkswagen,Petrol,Second,Manual,2021,42000.0,9333.333333333334
7,630000.0,Maruti Suzuki,Petrol,Second,Manual,2018,30000.0,4000.0
9,465000.0,Hyundai,Diesel,Second,Manual,2016,82100.0,8642.105263157895
13,899000.0,Audi,Diesel,Second,Automatic,2012,90000.0,6666.666666666667
14,1125000.0,Toyota,Diesel,Second,Manual,2011,193000.0,13310.344827586207
10,1750000.0,Mercedes-Benz,Diesel,First,Automatic,2015,65000.0,6190.476190476191
3,1690000.0,Hyundai,Petrol,Second,Automatic,2022,30000.0,8571.42857142857
5,690000.0,Maruti Suzuki,Petrol,First,Manual,2020,94856.0,17246.545454545456
2,1800000.0,Skoda,Petrol,First,Automatic,2023,12000.0,4800.0
7,1795000.0,Toyota,Diesel,First,Automatic,2018,118000.0,15733.333333333334
9,2000000.0,Mercedes-Benz,Petrol,Second,Automatic,2016,41000.0,4315.789473684211
15,290000.0,Honda,Petrol,Second,Manual,2010,79000.0,5096.774193548387
9,555555.0,Honda,Diesel,Second,Manual,2016,103001.0,10842.21052631579
8,765000.0,Hyundai,Petrol,Second,Manual,2017,70000.0,8235.29411764706
7,690000.0,Renault,Diesel,First,Manual,2018,130000.0,17333.333333333332
14,225000.0,Maruti Suzuki,Petrol,Second,Manual,2011,78000.0,5379.310344827586
8,2390000.0,Toyota,Diesel,Second,Automatic,2017,115000.0,13529.411764705883
8,550000.0,Mahindra,Diesel,Second,Manual,2017,160000.0,18823.529411764706
8,300000.0,Hyundai,Petrol,Second,Manual,2017,27000.0,3176.470588235294
5,1021000.0,Mg,Petrol,First,Automatic,2020,81600.0,14836.363636363636
8,811000.0,Hyundai,Petrol,First,Automatic,2017,54000.0,6352.941176470588
7,1125000.0,Mahindra,Diesel,First,Manual,2018,76000.0,10133.333333333334
11,3000000.0,Mercedes-Benz,Diesel,First,Automatic,2014,86000.0,7478.260869565217
14,115000.0,Hyundai,Petrol,Second,Manual,2011,65000.0,4482.758620689655
7,1450000.0,Mercedes-Benz,Diesel,Second,Automatic,2018,60000.0,8000.0
2,1225000.0,Kia,Petrol,First,Manual,2023,24000.0,9600.0
14,429101.0,Toyota,Diesel,Second,Manual,2011,100231.0,6912.482758620689
2,610000.0,Maruti Suzuki,Petrol,Second,Manual,2023,13000.0,5200.0
8,519999.0,Hyundai,Petrol,First,Manual,2017,47000.0,5529.411764705882
18,140000.0,Hyundai,Petrol,Second,Manual,2007,115031.0,6217.891891891892
11,280000.0,Maruti Suzuki,Petrol,First,Manual,2014,67000.0,5826.086956521739
9,425000.0,Hyundai,Diesel,First,Manual,2016,74500.0,7842.105263157895
9,575000.0,Honda,Petrol,Second,Automatic,2016,93000.0,9789.473684210527
10,295000.0,Maruti Suzuki,Petrol,First,Manual,2015,59000.0,5619.047619047619
8,1725000.0,Toyota,Diesel,Second,Automatic,2017,79000.0,9294.117647058823
3,1250000.0,Hyundai,Diesel,First,Automatic,2022,69000.0,19714.285714285714
10,650000.0,Hyundai,Diesel,Second,Automatic,2015,76000.0,7238.0952380952385
5,935000.0,Kia,Petrol,First,Automatic,2020,34500.0,6272.727272727273
9,400000.0,Ford,Diesel,Second,Manual,2016,130000.0,13684.21052631579
3,7500000.0,Mercedes-Benz,Diesel,First,Automatic,2022,20000.0,5714.285714285715
2,2350000.0,Mahindra,Diesel,First,Automatic,2023,15905.0,6362.0
4,2125000.0,Toyota,Diesel,First,Manual,2021,21000.0,4666.666666666667
6,3950000.0,Mini,Petrol,First,Automatic,2019,13000.0,2000.0
10,435000.0,Maruti Suzuki,Diesel,First,Manual,2015,75000.0,7142.857142857143
13,300000.0,Volkswagen,Diesel,Second,Manual,2012,80000.0,5925.925925925926
9,245000.0,Maruti Suzuki,Petrol,First,Manual,2016,50000.0,5263.1578947368425
3,680000.0,Tata,Petrol,Second,Automatic,2022,40000.0,11428.57142857143
12,385000.0,Maruti Suzuki,Diesel,First,Manual,2013,87000.0,6960.0
10,589000.0,Toyota,Diesel,Second,Manual,2015,155000.0,14761.904761904761
11,425000.0,Volkswagen,Diesel,Second,Manual,2014,80000.0,6956.521739130435
11,265000.0,Maruti Suzuki,Petrol,Second,Manual,2014,84000.0,7304.347826086957
4,850000.0,Volkswagen,Petrol,First,Automatic,2021,18000.0,4000.0
8,575000.0,Maruti Suzuki,Petrol,First,Automatic,2017,47000.0,5529.411764705882
14,425000.0,Volkswagen,Diesel,First,Manual,2011,134000.0,9241.379310344828
14,180000.0,Maruti Suzuki,Petrol,First,Manual,2011,82000.0,5655.172413793103
10,425000.0,Maruti Suzuki,Petrol,First,Automatic,2015,35000.0,3333.3333333333335
10,450000.0,Renault,Diesel,Second,Automatic,2015,150000.0,14285.714285714286
13,1095000.0,Toyota,Diesel,First,Manual,2012,132000.0,9777.777777777777
8,2500000.0,Land Rover,Petrol,Second,Automatic,2017,130000.0,15294.117647058823
5,980000.0,Maruti Suzuki,Petrol,First,Automatic,2020,59000.0,10727.272727272728
7,575000.0,Tata,Petrol,Second,Automatic,2018,95000.0,12666.666666666666
9,110000.0,Tata,Diesel,Second,Manual,2016,115000.0,12105.263157894737
3,1675000.0,Mahindra,Diesel,First,Manual,2022,11000.0,3142.8571428571427
10,1185000.0,Toyota,Petrol,Second,Automatic,2015,68000.0,6476.190476190476
4,1199000.0,Skoda,Petrol,First,Automatic,2021,74000.0,16444.444444444445
13,385000.0,Maruti Suzuki,Petrol,First,Manual,2012,88000.0,6518.518518518518
11,455000.0,Hyundai,Petrol,Second,Automatic,2014,47000.0,4086.9565217391305
13,235000.0,Honda,Petrol,First,Manual,2012,68000.0,5037.037037037037
18,265000.0,Honda,Petrol,Second,Manual,2007,115000.0,6216.216216216216
14,150000.0,Hyundai,Petrol,Second,Manual,2011,50000.0,3448.2758620689656
8,600000.0,Honda,Diesel,First,Manual,2017,98000.0,11529.411764705883
6,3099000.0,Land Rover,Diesel,First,Automatic,2019,62000.0,9538.461538461539
6,899000.0,Tata,Diesel,Second,Manual,2019,67000.0,10307.692307692309
10,340000.0,Tata,Petrol,Second,Manual,2015,69000.0,6571.428571428572
4,540000.0,Maruti Suzuki,Petrol,First,Manual,2021,49000.0,10888.888888888889
12,390000.0,Maruti Suzuki,Diesel,Second,Manual,2013,162000.0,12960.0
7,2499000.0,Toyota,Diesel,First,Manual,2018,86000.0,11466.666666666666
2,2025000.0,Hyundai,Diesel,First,Automatic,2023,35000.0,14000.0
11,370000.0,Maruti Suzuki,Petrol,First,Manual,2014,38000.0,3304.3478260869565
5,1050000.0,Hyundai,Diesel,First,Manual,2020,105000.0,19090.909090909092
3,4199999.0,Toyota,Diesel,First,Automatic,2022,25500.0,7285.714285714285
10,450000.0,Maruti Suzuki,Petrol,First,Manual,2015,67000.0,6380.952380952381
9,555000.0,Volkswagen,Petrol,First,Automatic,2016,78000.0,8210.526315789473
19,295000.0,Toyota,Diesel,First,Manual,2006,191000.0,9794.871794871795
7,1075000.0,Hyundai,Petrol,Second,Automatic,2018,66000.0,8800.0
9,1480000.0,Toyota,Diesel,First,Manual,2016,75000.0,7894.736842105263
7,750000.0,Maruti Suzuki,Diesel,First,Manual,2018,85600.0,11413.333333333334
13,650000.0,Maruti Suzuki,Diesel,Second,Manual,2012,155000.0,11481.481481481482
10,330000.0,Maruti Suzuki,Petrol,First,Manual,2015,68000.0,6476.190476190476
7,590000.0,Ford,Petrol,First,Automatic,2018,73000.0,9733.333333333334
14,375000.0,Honda,Petrol,Second,Automatic,2011,74000.0,5103.448275862069
7,590000.0,Maruti Suzuki,Petrol,Second,Automatic,2018,65000.0,8666.666666666666
4,3250000.0,Audi,Petrol,First,Automatic,2021,50000.0,11111.111111111111
11,685000.0,Honda,Petrol,First,Automatic,2014,61000.0,5304.347826086957
20,160000.0,Maruti Suzuki,Petrol,Second,Manual,2005,98000.0,4780.487804878048
8,760000.0,Mahindra,Diesel,Second,Automatic,2017,76000.0,8941.176470588236
9,760000.0,Mahindra,Diesel,Second,Manual,2016,89100.0,9378.947368421053
7,935000.0,Volkswagen,Petrol,Second,Automatic,2018,73961.0,9861.466666666667
6,2740000.0,Ford,Diesel,First,Automatic,2019,60000.0,9230.76923076923
7,880000.0,Mahindra,Diesel,Second,Manual,2018,46850.0,6246.666666666667
2,1785000.0,Mahindra,Diesel,First,Automatic,2023,28000.0,11200.0
12,470000.0,Mahindra,Diesel,Second,Manual,2013,99000.0,7920.0
16,265000.0,Maruti Suzuki,Petrol,First,Manual,2009,56328.0,3413.818181818182
7,995000.0,Hyundai,Diesel,First,Manual,2018,127000.0,16933.333333333332
12,790000.0,Mercedes-Benz,Petrol,Second,Automatic,2013,78000.0,6240.0
3,2700000.0,Toyota,Diesel,First,Automatic,2022,31000.0,8857.142857142857
5,3045000.0,Skoda,Diesel,First,Automatic,2020,57000.0,10363.636363636364
8,2650000.0,Ford,Diesel,Second,Automatic,2017,70000.0,8235.29411764706
11,220000.0,Hyundai,Petrol,Second,Manual,2014,41453.0,3604.608695652174
4,545000.0,Tata,Petrol,First,Manual,2021,33000.0,7333.333333333333
7,460000.0,Maruti Suzuki,Petrol,Second,Automatic,2018,37000.0,4933.333333333333
10,375000.0,Volkswagen,Petrol,First,Manual,2015,65000.0,6190.476190476191
3,690000.0,Hyundai,Petrol,First,Automatic,2022,36000.0,10285.714285714286
9,1399999.0,Toyota,Petrol,Second,Automatic,2016,130000.0,13684.21052631579
12,160000.0,Maruti Suzuki,Petrol,Second,Manual,2013,100000.0,8000.0
9,2100000.0,Bmw,Diesel,First,Automatic,2016,93000.0,9789.473684210527
6,1065000.0,Hyundai,Diesel,First,Manual,2019,48000.0,7384.615384615385
9,2290000.0,Bmw,Diesel,Second,Automatic,2016,63000.0,6631.578947368421
10,560000.0,Hyundai,Diesel,Second,Manual,2015,85000.0,8095.238095238095
8,750000.0,Skoda,Diesel,First,Automatic,2017,70000.0,8235.29411764706
12,425000.0,Hyundai,Petrol,Second,Manual,2013,59000.0,4720.0
10,390000.0,Mahindra,Diesel,Second,Automatic,2015,72000.0,6857.142857142857
13,1295000.0,Mercedes-Benz,Diesel,Second,Automatic,2012,74000.0,5481.481481481482
7,785000.0,Honda,Diesel,First,Manual,2018,78127.0,10416.933333333332
5,775000.0,Maruti Suzuki,Petrol,First,Manual,2020,26000.0,4727.272727272727
8,325000.0,Renault,Petrol,Second,Automatic,2017,65663.0,7725.058823529412
7,4199000.0,Bmw,Petrol,First,Automatic,2018,24000.0,3200.0
10,1250000.0,Toyota,Diesel,Second,Automatic,2015,160000.0,15238.095238095239
5,725000.0,Volkswagen,Petrol,Second,Manual,2020,79000.0,14363.636363636364
7,549000.0,Maruti Suzuki,Petrol,First,Manual,2018,31000.0,4133.333333333333
6,1299999.0,Hyundai,Diesel,First,Automatic,2019,55000.0,8461.538461538461
10,431000.0,Maruti Suzuki,Diesel,Second,Manual,2015,89000.0,8476.190476190477
3,1820000.0,Hyundai,Diesel,First,Automatic,2022,37000.0,10571.42857142857
9,275000.0,Maruti Suzuki,Petrol,First,Manual,2016,56000.0,5894.736842105263
10,2450000.0,Mercedes-Benz,Diesel,First,Automatic,2015,75000.0,7142.857142857143
11,295000.0,Honda,Petrol,Second,Manual,2014,32001.0,2782.695652173913
1,260000.0,Maruti Suzuki,Petrol,First,Manual,2024,22000.0,14666.666666666666
15,150000.0,Hyundai,Petrol,Second,Manual,2010,45000.0,2903.2258064516127
4,3200000.0,Toyota,Petrol,First,Automatic,2021,60000.0,13333.333333333334
4,1390000.0,Kia,Petrol,First,Automatic,2021,41000.0,9111.111111111111
10,499999.0,Volkswagen,Petrol,Second,Manual,2015,51000.0,4857.142857142857
4,750000.0,Toyota,Petrol,Second,Automatic,2021,28000.0,6222.222222222223
6,4450000.0,Bmw,Diesel,First,Automatic,2019,38000.0,5846.153846153846
6,799000.0,Skoda,Diesel,First,Automatic,2019,64800.0,9969.23076923077
3,1995000.0,Jeep,Petrol,First,Automatic,2022,17300.0,4942.857142857143
12,292000.0,Volkswagen,Petrol,First,Manual,2013,38000.0,3040.0
14,280000.0,Honda,Petrol,Second,Automatic,2011,95000.0,6551.724137931034
13,165000.0,Honda,Petrol,First,Manual,2012,72000.0,5333.333333333333
9,875000.0,Maruti Suzuki,Diesel,Second,Manual,2016,135000.0,14210.526315789473
13,395000.0,Toyota,Diesel,Second,Manual,2012,135000.0,10000.0
6,695000.0,Volkswagen,Diesel,First,Manual,2019,160000.0,24615.384615384617
3,1875000.0,Tata,Diesel,First,Automatic,2022,14000.0,4000.0
5,1300000.0,Kia,Petrol,First,Automatic,2020,50200.0,9127.272727272728
11,255000.0,Maruti Suzuki,Petrol,First,Manual,2014,47000.0,4086.9565217391305
14,210000.0,Honda,Petrol,Second,Manual,2011,59600.0,4110.3448275862065
15,185000.0,Maruti Suzuki,Petrol,Second,Automatic,2010,8000.0,516.1290322580645
2,675000.0,Maruti Suzuki,Petrol,First,Manual,2023,30000.0,12000.0
8,365000.0,Renault,Petrol,Second,Automatic,2017,54000.0,6352.941176470588
14,295000.0,Chevrolet,Diesel,Second,Automatic,2011,100000.0,6896.551724137931
8,1199999.0,Mahindra,Diesel,First,Automatic,2017,48000.0,5647.058823529412
12,410000.0,Hyundai,Diesel,Second,Automatic,2013,150000.0,12000.0
9,650000.0,Hyundai,Petrol,Second,Manual,2016,63000.0,6631.578947368421
7,695000.0,Honda,Petrol,First,Manual,2018,62000.0,8266.666666666666
4,1125000.0,Honda,Diesel,First,Automatic,2021,56001.0,12444.666666666666
8,1565000.0,Toyota,Diesel,First,Manual,2017,25000.0,2941.176470588235
10,444000.0,Honda,Petrol,Second,Manual,2015,68001.0,6476.285714285715
12,345000.0,Renault,Diesel,First,Manual,2013,72000.0,5760.0
6,2675000.0,Bmw,Diesel,Second,Automatic,2019,50000.0,7692.307692307692
9,535000.0,Honda,Petrol,Second,Manual,2016,95000.0,10000.0
4,465000.0,Maruti Suzuki,Petrol,First,Automatic,2021,39000.0,8666.666666666666
12,695000.0,Mahindra,Diesel,Second,Manual,2013,60000.0,4800.0
8,1035000.0,Hyundai,Diesel,Second,Automatic,2017,72315.0,8507.64705882353
11,390000.0,Hyundai,Petrol,Second,Automatic,2014,82000.0,7130.434782608696
6,280000.0,Maruti Suzuki,Petrol,Second,Automatic,2019,85000.0,13076.923076923076
9,1245000.0,Hyundai,Diesel,First,Automatic,2016,64000.0,6736.8421052631575
9,440000.0,Hyundai,Petrol,Second,Manual,2016,68500.0,7210.526315789473
3,780000.0,Maruti Suzuki,Petrol,First,Automatic,2022,44000.0,12571.42857142857
6,540000.0,Maruti Suzuki,Petrol,First,Manual,2019,59000.0,9076.923076923076
3,1275000.0,Mg,Petrol,First,Automatic,2022,32000.0,9142.857142857143
11,1200000.0,Audi,Diesel,Second,Automatic,2014,45000.0,3913.0434782608695
9,525000.0,Volkswagen,Petrol,Second,Automatic,2016,130000.0,13684.21052631579
6,300000.0,Maruti Suzuki,Petrol,First,Manual,2019,65110.0,10016.923076923076
8,1551111.0,Toyota,Diesel,First,Automatic,2017,112000.0,13176.470588235294
11,1900000.0,Mini,Diesel,Second,Automatic,2014,32000.0,2782.608695652174
8,375000.0,Renault,Petrol,First,Automatic,2017,78537.0,9239.64705882353
7,775000.0,Volkswagen,Diesel,First,Automatic,2018,70673.0,9423.066666666668
7,479931.0,Maruti Suzuki,Petrol,First,Manual,2018,39848.0,5313.066666666667
9,1500000.0,Audi,Diesel,First,Automatic,2016,77000.0,8105.263157894737
17,150000.0,Maruti Suzuki,Petrol,Second,Manual,2008,111400.0,6365.714285714285
8,3495000.0,Toyota,Diesel,Second,Automatic,2017,30000.0,3529.4117647058824
10,325000.0,Skoda,Diesel,Second,Automatic,2015,82000.0,7809.523809523809
12,361000.0,Maruti Suzuki,Diesel,Second,Manual,2013,89000.0,7120.0
10,1550000.0,Toyota,Diesel,First,Automatic,2015,195000.0,18571.428571428572
8,695000.0,Tata,Diesel,First,Manual,2017,65110.0,7660.0
3,1375000.0,Hyundai,Petrol,First,Manual,2022,25000.0,7142.857142857143
11,1500000.0,Bmw,Diesel,First,Automatic,2014,115000.0,10000.0
10,574999.0,Honda,Petrol,First,Manual,2015,64000.0,6095.238095238095
12,415000.0,Volkswagen,Petrol,First,Automatic,2013,61000.0,4880.0
11,479000.0,Hyundai,Petrol,Second,Automatic,2014,54000.0,4695.652173913043
3,2600000.0,Toyota,Diesel,First,Automatic,2022,25000.0,7142.857142857143
10,360000.0,Maruti Suzuki,Petrol,Second,Automatic,2015,103000.0,9809.52380952381
3,1550000.0,Mahindra,Petrol,First,Automatic,2022,14000.0,4000.0
10,235000.0,Tata,Petrol,First,Manual,2015,56000.0,5333.333333333333
9,2500000.0,Bmw,Diesel,Second,Automatic,2016,47000.0,4947.368421052632
12,1550000.0,Jaguar,Diesel,Second,Automatic,2013,97763.0,7821.04
4,515000.0,Tata,Petrol,Second,Manual,2021,74000.0,16444.444444444445
10,385000.0,Honda,Petrol,Second,Manual,2015,50000.0,4761.9047619047615
4,2550000.0,Toyota,Diesel,Second,Manual,2021,42000.0,9333.333333333334
11,395000.0,Skoda,Petrol,Second,Automatic,2014,71000.0,6173.913043478261
5,1195000.0,Mahindra,Diesel,First,Manual,2020,40000.0,7272.727272727273
15,235000.0,Hyundai,Petrol,Second,Manual,2010,83000.0,5354.8387096774195
13,1650000.0,Toyota,Diesel,Second,Manual,2012,166000.0,12296.296296296296
21,98000.0,Tata,Petrol,Second,Manual,2004,70899.0,3297.6279069767443
6,1149000.0,Maruti Suzuki,Diesel,First,Manual,2019,91000.0,14000.0
3,1865000.0,Tata,Diesel,First,Manual,2022,27000.0,7714.285714285715
7,1350000.0,Hyundai,Diesel,First,Automatic,2018,77620.0,10349.333333333334
8,649999.0,Ford,Diesel,Second,Manual,2017,85000.0,10000.0
11,375556.0,Hyundai,Petrol,Second,Manual,2014,80000.0,6956.521739130435
6,1185000.0,Volkswagen,Petrol,Second,Automatic,2019,35000.0,5384.615384615385
9,575000.0,Honda,Petrol,First,Automatic,2016,77000.0,8105.263157894737
7,520000.0,Maruti Suzuki,Diesel,Second,Automatic,2018,63259.0,8434.533333333333
8,449999.0,Ford,Diesel,First,Manual,2017,110000.0,12941.176470588236
2,925000.0,Hyundai,Petrol,First,Automatic,2023,14000.0,5600.0
7,1915000.0,Volkswagen,Diesel,First,Automatic,2018,52000.0,6933.333333333333
14,7500000.0,Mercedes-Benz,Diesel,Second,Automatic,2011,45000.0,3103.448275862069
9,1325000.0,Bmw,Diesel,Second,Automatic,2016,65000.0,6842.105263157895
9,595000.0,Renault,Diesel,Second,Automatic,2016,75000.0,7894.736842105263
18,165000.0,Maruti Suzuki,Diesel,Second,Manual,2007,135000.0,7297.2972972972975
11,780000.0,Toyota,Diesel,Second,Manual,2014,105000.0,9130.434782608696
9,2800000.0,Land Rover,Diesel,Second,Automatic,2016,151000.0,15894.736842105263
12,851000.0,Bmw,Diesel,Second,Automatic,2013,61000.0,4880.0
2,1290000.0,Maruti Suzuki,Petrol,First,Manual,2023,21209.0,8483.6
5,733000.0,Toyota,Petrol,First,Manual,2020,87000.0,15818.181818181818
9,599000.0,Renault,Diesel,Second,Manual,2016,130000.0,13684.21052631579
10,1075000.0,Volvo,Diesel,Second,Automatic,2015,125000.0,11904.761904761905
7,355000.0,Tata,Petrol,First,Automatic,2018,30000.0,4000.0
10,898970.0,Audi,Diesel,First,Automatic,2015,78561.0,7482.0
9,600000.0,Honda,Petrol,Second,Manual,2016,63000.0,6631.578947368421
9,410000.0,Honda,Petrol,First,Manual,2016,65000.0,6842.105263157895
10,450000.0,Volkswagen,Petrol,Second,Automatic,2015,102000.0,9714.285714285714
3,745000.0,Maruti Suzuki,Petrol,First,Automatic,2022,35000.0,10000.0
3,1299000.0,Volkswagen,Petrol,First,Automatic,2022,50000.0,14285.714285714286
12,299000.0,Maruti Suzuki,Petrol,Second,Automatic,2013,60000.0,4800.0
11,1599000.0,Bmw,Diesel,Second,Automatic,2014,72000.0,6260.869565217391
12,1600000.0,Mini,Petrol,Second,Automatic,2013,53000.0,4240.0
7,850000.0,Toyota,Diesel,Second,Manual,2018,74000.0,9866.666666666666
2,2295000.0,Mg,Petrol,First,Automatic,2023,29000.0,11600.0
9,1700000.0,Mercedes-Benz,Petrol,Second,Automatic,2016,20800.0,2189.4736842105262
8,565000.0,Hyundai,Petrol,Second,Manual,2017,95000.0,11176.470588235294
4,1700000.0,Mahindra,Diesel,First,Automatic,2021,13000.0,2888.8888888888887
2,2100000.0,Mahindra,Petrol,First,Manual,2023,4000.0,1600.0
4,685000.0,Maruti Suzuki,Petrol,Second,Automatic,2021,57000.0,12666.666666666666
3,2725000.0,Mahindra,Diesel,First,Automatic,2022,25000.0,7142.857142857143
8,1050000.0,Mahindra,Diesel,First,Manual,2017,92000.0,10823.529411764706
4,1295000.0,Mg,Petrol,First,Automatic,2021,12110.0,2691.1111111111113
3,975000.0,Hyundai,Petrol,First,Automatic,2022,13162.0,3760.5714285714284
8,599000.0,Toyota,Petrol,First,Manual,2017,49000.0,5764.705882352941
9,265000.0,Maruti Suzuki,Petrol,Second,Manual,2016,68000.0,7157.894736842105
12,1150000.0,Audi,Diesel,Second,Automatic,2013,110000.0,8800.0
8,499555.0,Hyundai,Petrol,First,Manual,2017,52355.0,6159.411764705882
12,310000.0,Hyundai,Petrol,Second,Automatic,2013,40595.0,3247.6
4,1450000.0,Mahindra,Diesel,Second,Manual,2021,41000.0,9111.111111111111
11,1010000.0,Maruti Suzuki,Petrol,Second,Automatic,2014,77500.0,6739.130434782609
7,595000.0,Maruti Suzuki,Petrol,First,Manual,2018,55000.0,7333.333333333333
12,145000.0,Hyundai,Petrol,Second,Automatic,2013,80000.0,6400.0
9,1990000.0,Mercedes-Benz,Petrol,Second,Automatic,2016,71000.0,7473.684210526316
18,185000.0,Hyundai,Petrol,Second,Manual,2007,65000.0,3513.5135135135133
6,2699000.0,Toyota,Diesel,First,Automatic,2019,69000.0,10615.384615384615
6,900000.0,Maruti Suzuki,Diesel,First,Manual,2019,90000.0,13846.153846153846
16,165000.0,Fiat,Petrol,Second,Manual,2009,79742.0,4832.848484848485
8,1690000.0,Audi,Diesel,Second,Automatic,2017,45000.0,5294.117647058823
3,3375000.0,Toyota,Diesel,First,Automatic,2022,8000.0,2285.714285714286
13,260000.0,Toyota,Petrol,Second,Automatic,2012,51000.0,3777.777777777778
6,2550000.0,Bmw,Diesel,First,Automatic,2019,71000.0,10923.076923076924
10,2149999.0,Mercedes-Benz,Diesel,First,Automatic,2015,58000.0,5523.809523809524
1,3899999.0,Toyota,Diesel,First,Manual,2024,2596.0,1730.6666666666667
2,1410000.0,Mahindra,Petrol,First,Automatic,2023,24500.0,9800.0
4,1075000.0,Honda,Diesel,First,Manual,2021,125000.0,27777.777777777777
8,600000.0,Maruti Suzuki,Petrol,Second,Automatic,2017,79000.0,9294.117647058823
6,1999000.0,Toyota,Diesel,Second,Automatic,2019,118000.0,18153.846153846152
8,4000000.0,Bmw,Diesel,First,Automatic,2017,75000.0,8823.529411764706
8,620000.0,Mahindra,Diesel,Second,Manual,2017,105000.0,12352.941176470587
4,851000.0,Maruti Suzuki,Petrol,First,Manual,2021,35000.0,7777.777777777777
8,3500000.0,Audi,Diesel,First,Automatic,2017,51000.0,6000.0
3,1875000.0,Kia,Diesel,First,Automatic,2022,30891.0,8826.0
2,1800000.0,Hyundai,Petrol,First,Automatic,2023,2500.0,1000.0
6,575000.0,Maruti Suzuki,Petrol,Second,Manual,2019,32000.0,4923.076923076923
4,1425000.0,Mahindra,Diesel,First,Manual,2021,66000.0,14666.666666666666
9,1375000.0,Volvo,Petrol,First,Automatic,2016,75000.0,7894.736842105263
6,1275000.0,Mg,Diesel,First,Manual,2019,71000.0,10923.076923076924
14,1350000.0,Audi,Petrol,Second,Automatic,2011,51000.0,3517.2413793103447
10,310000.0,Maruti Suzuki,Petrol,Second,Automatic,2015,75000.0,7142.857142857143
7,545000.0,Hyundai,Petrol,First,Manual,2018,39500.0,5266.666666666667
7,800000.0,Renault,Diesel,First,Manual,2018,120000.0,16000.0
9,860000.0,Toyota,Diesel,Second,Manual,2016,65110.0,6853.684210526316
13,555000.0,Volkswagen,Diesel,Second,Automatic,2012,68900.0,5103.7037037037035
8,3090000.0,Mercedes-Benz,Diesel,First,Automatic,2017,68000.0,8000.0
10,465000.0,Ford,Petrol,Second,Automatic,2015,80000.0,7619.047619047619
